Order Number,Location,Street Address,City,State,Zip Code,Store Number,Store Name,Caterer Name,Event Date,Submitted At,Food Total,Promotion,Delivery Fee,Commission,Sales Tax,Sales Tax Remitted by ezCater,Tip,Credit Card Fee,Adjustments,Discounts,Misc Fees,Preferred Partner Program,ezRewards,Caterer Total Due,Status,Order Paid By Caterer Payment Method,Source,Promotion Code,Driver,House Account ID,House Account Tax ID
MZ2-FEJ,theLender,25531 Commercentre Dr 250,Lake Forest,CA,92630.0,,Ameci Pizza & Pasta,Ameci Pizza & Pasta (Lake Forest),2021-04-15 11:30:00.000,2021-04-14 16:03:55.720,104.56,0,5,-16.43,8.1,0,10.46,-3.24,0,0,0,-7.32,-3.14,97.99,Completed,ach,Marketplace Delivery,,,,
APV-FM5,Mosaic Labs,80 Empire Dr,Lake Forest,CA,92630.0,,Ameci Pizza & Pasta,Ameci Pizza & Pasta (Lake Forest),2021-04-20 11:30:00.000,2021-04-16 15:44:59.469,384.05,0,5,-58.36,29.76,0,38.41,-11.52,0,0,0,-26.88,-11.52,348.94,Completed,ach,Marketplace Delivery,,,,
Total,Count: 2,,,,,,,,,,488.61,0,10,-74.79,37.86,0,48.87,-14.76,0,0,0,-34.2,-14.66,446.93,,,,,,,
