Order Number,Location,Street Address,City,State,Zip Code,Store Number,Store Name,Caterer Name,Event Date,Submitted At,Food Total,Promotion,Delivery Fee,Commission,Sales Tax,Sales Tax Remitted by ezCater,Tip,Credit Card Fee,Adjustments,Discounts,Misc Fees,Preferred Partner Program,ezRewards,Caterer Total Due,Status,Order Paid By Caterer Payment Method,Source,Promotion Code,Driver,House Account ID,House Account Tax ID
26C-J86,Orange  County Retina Consultants,24022 Calle De La Plata Suite 475,Laguna Hills,CA,92653.0,,Aroma Pizza & Pasta,Aroma Pizza & Pasta (Lake Forest),2021-07-30 11:15:00.000,2021-07-29 12:02:41.010,203.78,0,10,-32.07,15.79,0,25,-6.31,0,0,0,-16.3,-4.08,195.81,Completed,ach,Marketplace Delivery,,,,
Total,Count: 1,,,,,,,,,,203.78,0,10,-32.07,15.79,0,25,-6.31,0,0,0,-16.3,-4.08,195.81,,,,,,,
